"ra","dec"
63.60945,28.1009
65.50183,15.50589
65.89748,25.05074
66.32366,26.29734
67.51662,18.23045
67.68438,26.02346
67.9908,18.36058
68.17932,25.87531
68.20464,22.88411
68.3877,18.01672
68.47792,26.22431
69.64783,26.17819
71.7457,17.04385
73.94822,30.46881
60.95545,26.18112
60.95825,26.34394
60.96183,26.18144
61.16404,21.97183
61.16604,21.97264
61.17946,26.31566
61.37867,21.85297
62.0326,28.12446
63.30892,28.31968
63.36345,28.27355
63.47204,28.18983
63.47799,28.19247
63.48907,29.30537
63.5495,28.1982
63.55117,28.14364
63.55384,28.20342
63.55659,28.21368
63.56079,28.46613
63.57085,28.18273
63.57337,28.10269
63.62727,28.08742
63.69712,26.77401
63.6975,28.05153
63.69944,26.80306
63.69989,27.87629
63.70538,28.20849
63.71808,28.09994
63.77149,28.14617
63.81131,28.00267
63.85042,29.17874
63.91318,28.31628
63.92828,29.1666
63.99164,27.77155
64.05043,27.94405
64.07857,27.87098
64.11358,20.88589
64.11712,28.12661
64.12704,30.61814
64.16298,28.98032
64.39052,28.34635
64.41225,28.55014
64.45647,28.22551
64.4569,28.49341
64.53319,28.43436
64.54494,25.33261
64.57127,28.47831
64.58946,16.97972
64.62124,28.43864
64.62627,27.72245
64.62961,28.45448
64.6297,28.27473
64.63161,28.28292
64.63347,28.52094
64.64353,28.5084
64.66763,28.40681
64.66916,28.32097
64.67222,28.45695
64.6771,28.31385
64.69599,28.33537
64.71315,28.24257
64.7145,28.34068
64.71542,17.38794
64.74224,28.20652
64.75461,28.32835
64.75529,28.04686
64.75823,28.37589
64.80338,28.49253
64.81598,29.10747
64.85942,28.43731
64.89773,28.45606
64.92197,27.83014
64.92283,27.26861
64.92708,27.22778
64.94406,27.21534
64.99354,27.16586
65.06713,28.35904
65.08935,28.23032
65.10647,27.00987
65.10764,28.32326
65.10861,28.06915
65.16325,27.29214
65.21971,17.77821
65.28314,27.03901
65.28893,27.84357
65.29328,27.02702
65.29779,27.01928
65.39416,27.02746
65.41725,28.23958
65.43015,19.57037
65.44298,26.99156
65.4771,26.87542
65.48182,27.91835
65.48667,15.49639
65.48921,28.44321
65.4952,28.30181
65.49764,19.53512
65.5029,26.95902
65.50907,26.95847
65.51307,28.4275
65.55551,19.57757
65.56533,26.95169
65.5685,25.81996
65.56983,26.91586
65.60021,26.77383
65.69945,26.76474
65.77529,28.02208
65.78237,28.09926
65.82596,26.68767
65.9133,24.93725
66.08708,26.51422
66.11026,26.83066
66.18575,26.17063
66.18776,27.02909
66.23783,27.19903
66.62247,26.40383
66.62729,24.73219
66.72304,26.1151
66.72671,26.11417
66.7348,24.7265
66.73886,26.10789
66.76108,26.09181
66.76164,25.70622
66.76957,26.10453
66.78083,22.25106
66.86665,26.20146
66.93908,23.95676
66.98878,26.32175
67.16229,26.85975
67.17765,27.23442
67.25284,27.91761
67.27079,26.81869
67.3363,26.5613
67.34022,27.02387
67.34889,24.55008
67.37377,26.28141
67.37533,24.66529
67.38373,24.5166
67.40027,24.59879
67.42316,26.54952
67.42698,26.54703
67.44033,26.513
67.46484,26.11247
67.47595,17.90115
67.49795,24.55218
67.53018,26.13911
67.59856,23.98694
67.62339,24.44585
67.70958,23.00248
67.71407,24.70619
67.71547,24.69653
67.73828,25.9443
67.81017,27.17166
67.81578,18.33531
67.82947,23.58464
67.84926,24.18137
67.85024,18.00598
67.86121,27.05522
67.89199,18.13469
67.90056,18.22869
67.90613,18.2068
67.91015,18.23268
67.91697,18.23255
67.9352,18.14209
67.96069,24.40502
67.99352,25.72498
67.99867,18.35847
68.01372,25.46884
68.03862,17.95632
68.0607,18.33743
68.06421,24.48326
68.066,18.02742
68.06695,18.2129
68.07442,24.37083
68.07857,24.37421
68.09212,18.46184
68.09708,24.05038
68.10065,22.85233
68.10948,18.46449
68.12617,17.52508
68.12644,17.52796
68.12742,24.33258
68.13235,24.33417
68.13356,22.95741
68.18222,18.04898
68.20944,24.36988
68.21333,17.50256
68.25824,24.35
68.27593,24.15944
68.27767,24.16528
68.28254,26.26851
68.2894,22.78019
68.2918,24.56205
68.30983,26.23986
68.31875,22.889
68.32946,22.77617
68.35921,22.75814
68.38662,18.01212
68.3919,24.35473
68.394,24.35162
68.40327,26.16367
68.41273,22.45577
68.41276,25.34395
68.41397,17.86455
68.42382,17.84451
68.42882,25.44639
68.43605,26.25015
68.45299,18.16944
68.46669,22.84172
68.46858,26.21525
68.46883,22.94081
68.48111,18.64418
68.5458,22.86237
68.56363,22.84193
68.57513,18.50182
68.68937,23.13408
68.73093,24.48143
68.73721,22.97664
68.78545,23.19441
68.83418,22.53739
68.83709,22.90674
68.85215,17.86191
68.86406,24.2497
68.89733,24.14072
68.89746,24.13872
68.92057,24.18577
68.92433,22.56989
68.92517,22.87297
68.9386,27.6203
68.94723,22.83936
68.96292,22.87782
68.9643,22.81999
68.96708,22.91778
68.9699,22.90642
68.97029,22.84961
68.97292,22.9025
68.97563,22.90377
68.98684,22.91001
68.99554,22.64314
69.04295,21.99346
69.04328,22.9989
69.07955,25.71641
69.08967,23.85461
69.16224,22.96997
69.40437,23.51891
69.48625,25.77303
69.5035,25.98256
69.56192,26.19443
69.56792,23.44453
69.58892,26.15382
69.61909,26.1804
69.74417,23.60978
69.74462,23.39989
69.75679,23.60083
69.7665,25.74067
69.77187,23.62919
69.77658,23.57167
69.80791,25.88906
69.82255,22.79817
69.82415,22.35097
69.83712,25.75059
69.89017,23.98922
69.89662,25.69575
69.93701,26.03133
69.94785,26.02799
69.97329,26.05153
69.98227,25.75057
70.00283,23.97256
70.00727,25.94145
70.03334,26.09038
70.1658,25.31837
70.20628,25.85533
70.26768,25.96559
70.26962,24.85173
70.28442,25.93541
70.29494,25.9199
70.30283,25.7765
70.32003,28.66669
70.35267,25.73139
70.41176,25.94076
70.43707,23.03094
70.44022,23.03278
70.45104,25.57514
70.52285,25.38231
70.53052,25.38423
70.53239,25.38661
70.58757,25.34288
70.65707,25.26041
70.7629,25.33854
70.83431,29.66835
71.11305,25.20456
71.46374,15.93047
71.46393,15.92687
71.6775,24.98428
71.7211,17.00003
71.77587,16.97856
71.95247,29.41976
72.17458,17.0604
72.9474,30.78707
73.02783,30.78821
73.79576,30.36654
73.84721,30.46017
73.90398,30.2987
73.91859,30.65159
73.93896,30.32748
73.94102,30.55119
73.95083,30.50447
73.95707,30.32779
73.97036,30.11453
73.98356,30.60582
73.98486,30.82708
73.99744,30.56709
74.00492,30.44301
74.00842,30.35102
74.4543,30.25542
74.69277,29.8436
75.77748,25.38881
76.1725,25.16511
76.34525,25.52534
76.56978,24.76951
76.5972,24.53887
76.69429,21.07489
76.80028,24.62122
76.95653,30.40144
76.97902,25.00434
